ORGANIC,ORGANIC_DESCRIPCIO
0000,Coordinació i Serv. Centrals Àrea 0
0111,Presidència
0113,Premsa
0463,Imatge i Comunicació
0464,Participació Ciutadana i Equip. Civics
0467,Cooperació i Solidaritat
0468,Síndic de Greuges
0469,Equipaments Cívics
0491,Serveis Comunicació Àrea 0
0752,Relacions Europees i Internacionals
1000,Coordinació i Serv. Centrals Àrea 1
1222,Via Pública i Policia Municipal
1224,Mobilitat
1414,Protecció de la Salut
1431,Habitatge
1432,Urbanisme
1433,Servei d Obres i Manteniment
1434,Parc de Vallparadís
1436,Enllumenat Públic
1437,Pla de Barris
1438,Manteniment Urbà Jardineria
1441,Manteniment Urbà Clavegueram
1442,"Eco-Equip, S.A.M."
1443,Terrassa Neta
1511,Manteniment Urbà i Infrastructures
1513,Transports
1533,Medi Ambient
2000,Coordinació i Serv. Centrals Àrea 2
2011,Deute Públic
2121,"Tecnologia, Logística i Qualitat"
2468,Síndic de Greuges
2122,Organització i Recursos Humans
2125,Organització Pacte Cohesi
2424,Aportació Vapor Universitari
2464,Estructura Territorial i Atenció Ciutadana
2611,Gestió d'Ingressos i Recaptació
3000,Coordinació i Serv. Centrals Àrea 3
2612,"Serveis Econòmics, Financers i Control Intern"
3313,Serveis Socials
3314,Polítiques socials d'habitatge
3412,Hospitals
3315,Oficina Capacitats Diverses
3413,Salut i Comunitat
3422,Serveis Educació
3423,Universitat i Societat Coneixement
3451,Promoció i Difusió de la Cultura
3452,Esports
3454,Consorci Normalització Lingüística
3460,Ciutadania i Qualitat Democràtica
3461,Promoció Gent Gran
3465,Joventut
3466,Polítiques de Gènere
3467,Solidaritat i Cooperació
4000,Coordinació i Serv. Centrals
4313,Serveis Socials
4315,Acció Social Pacte Cohesió
4322,Servei d Ocupació i Formació
4412,Hospitals
4413,Salut i Comunitat
4423,Universitat i Societat Coneixement
4449,Consum
4460,Ciutadania i Drets Civils
4461,Promoció Gent Gran
4469,Equipaments Cívics
4622,Comerç i Mercats
4623,Servei d'empresa
4751,Turisme
4752,Relacions europees i internacionals
4753,Projecció de la ciutat i innovació
5000,Coordinació i Serv. Centrals Àrea 5
5322,Promoció d Ocupació
5325,Promoció econòmica pacte local per l'ocupació
5423,Universitat Societat Coneixement
5451,Promoció i Difusió de la Cultura
5452,Esports
5491,Serveis Comunicació
5622,Comerç i Mercats
5624,Mercats
5751,Turisme
5752,Relacions europees i internacionals
5753,Projecció de la ciutat i innovació
5754,Projecció de la Ciutat
